"time","mean","stdev","min","max","q1","q3","median","('s9', 's18')","('s9', 's8')","('s9', 's7')","('s9', 's6')","('s9', 's10')","('s8', 's7')","('s8', 's5')","('s3', 's2')","('s3', 's1')","('s3', 's6')","('s2', 's12')","('s2', 's1')","('s1', 's4')","('s7', 's20')","('s7', 's25')","('s6', 's12')","('s6', 's10')","('s6', 's4')","('s5', 's25')","('s5', 's27')","('s5', 's4')","('s19', 's20')","('s19', 's18')","('s19', 's17')","('s19', 's21')","('s18', 's20')","('s18', 's17')","('s13', 's11')","('s13', 's16')","('s13', 's15')","('s13', 's14')","('s12', 's11')","('s11', 's10')","('s11', 's16')","('s10', 's16')","('s17', 's16')","('s17', 's15')","('s17', 's14')","('s15', 's14')","('s30', 's28')","('s30', 's29')","('s30', 's24')","('s22', 's23')","('s22', 's21')","('s22', 's24')","('s23', 's28')","('s23', 's26')","('s23', 's24')","('s20', 's26')","('s20', 's21')","('s26', 's25')","('s27', 's28')","('s27', 's29')","('s27', 's25')","('s25', 's28')","('s28', 's29')"
2.9,1.60714285714,1.88678270598,0,9,0.0,3.0,1.0,3,2,3,3,3,0,2,0,2,1,0,0,5,2,2,1,5,7,2,4,9,0,0,2,1,2,3,1,3,0,0,1,3,0,4,1,4,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3,1,0,0
3.0,1.66071428571,2.01136756705,0,9,0.0,2.25,1.0,2,2,4,2,5,0,2,0,1,1,0,0,4,2,3,1,5,8,2,4,9,0,0,2,1,1,3,1,4,0,0,1,3,0,5,1,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,1,2,0
3.1,2.08928571429,2.32437999194,0,11,0.0,3.0,2.0,3,2,4,2,6,0,2,0,1,2,0,0,5,2,3,1,7,11,2,4,9,0,0,3,2,1,4,3,4,2,0,2,5,0,5,1,4,2,0,0,0,1,0,2,1,0,0,0,0,2,0,1,3,1,2,0
3.2,2.07142857143,2.30571605594,0,10,0.0,3.0,2.0,2,3,2,2,6,0,2,0,0,2,0,0,5,4,4,1,7,10,3,4,10,1,0,3,2,0,2,3,4,2,0,2,4,0,6,1,2,2,0,0,0,1,1,2,1,1,0,0,0,2,0,2,2,0,3,0
3.3,1.89285714286,2.15206355645,0,10,0.0,2.25,2.0,2,3,2,2,6,0,2,0,0,2,1,0,4,2,3,2,7,10,2,3,8,0,0,3,2,0,2,3,4,2,0,2,4,0,6,1,2,2,0,0,0,1,0,2,1,0,0,0,0,2,0,1,2,0,3,0
3.4,2.0,2.15472901843,0,10,0.0,3.0,2.0,2,3,2,2,6,0,2,0,0,2,1,2,5,2,3,2,6,9,3,3,10,0,0,3,2,0,2,3,4,2,0,2,4,0,6,1,2,2,0,0,0,1,0,2,1,0,1,0,0,2,1,1,2,0,3,0
3.5,1.96428571429,2.19548469847,0,9,0.0,3.0,1.5,2,3,2,2,7,0,3,0,0,2,1,1,4,1,4,2,6,9,2,4,9,0,0,2,2,0,2,3,4,2,0,2,5,0,6,1,1,2,0,0,0,1,0,2,1,1,0,0,0,1,0,1,3,0,4,0
3.6,1.96428571429,2.32197795697,0,10,0.0,3.0,1.0,2,3,3,2,8,0,3,0,0,2,1,1,5,2,3,2,6,9,3,4,10,0,0,1,1,0,2,3,4,2,0,2,5,0,6,1,0,2,0,0,0,1,0,1,1,0,0,0,0,1,1,1,3,0,3,0
3.7,1.96428571429,2.32965575104,0,10,0.0,3.0,1.0,2,2,4,3,7,0,2,0,0,3,0,1,5,2,4,1,6,9,4,4,10,0,0,0,0,0,2,3,4,2,0,2,5,0,6,1,0,1,0,1,1,1,0,1,1,0,0,0,0,2,1,1,3,0,3,0
3.8,1.94642857143,2.44525519306,0,12,0.0,3.0,1.0,2,2,3,3,6,0,2,0,0,2,0,1,7,2,3,1,5,9,5,5,12,0,0,1,1,0,2,1,4,0,0,1,3,0,6,1,1,1,0,0,2,1,0,2,1,0,0,0,0,2,1,1,4,0,3,0
