"src_ip","dst_ip","src_node","dst_node","flow_size","avg_rate","arrive_time","install_time","end_time","duration","resend","reroute"
10.0.1.22,10.0.1.153,"sMK","sPT",61440587.0,33549746.521893393,0.16359697165280496,0.17359697165280497,1.9949248763183742,1.8313279046655693,0,0
10.0.0.177,10.0.0.200,"sDK","sIS",54615465.0,38068510.12645303,0.5673873618483656,0.5773873618483656,2.0020498904995416,1.434662528651176,0,0
10.0.1.137,10.0.2.83,"sGR","sRO",57358730.0,28816320.898215525,0.016550896946650573,0.026550896946650575,2.007045457393886,1.9904945604472355,0,0
10.0.0.19,10.0.0.245,"sDE1","sMT",50271824.0,29968977.68078219,0.4070555278339848,0.4170555278339848,2.084517619983933,1.6774620921499483,0,0
10.0.0.218,10.0.1.8,"sUA","sUK",51520415.0,34043550.30038263,0.5769905783953497,0.5869905783953497,2.090358442364019,1.5133678639686692,0,0
10.0.1.66,10.0.1.202,"sMD","sCZ",55248538.0,31525905.68242595,0.34700223286365706,0.35700223286365707,2.09948282950511,1.752480596641453,0,0
10.0.0.150,10.0.1.179,"sFI","sCY",76298247.0,43874414.61017079,0.37257994477442635,0.38257994477442636,2.111594531702108,1.7390145869276816,0,0
10.0.0.97,10.0.0.229,"sSI","sIT",80093482.0,37375123.452813625,0.040800846665161705,0.0508008466651617,2.1837631863379285,2.142962339672767,0,0
10.0.0.51,10.0.1.82,"sNO","sIL",66815604.0,39206948.12504833,0.4968838695525396,0.5068838695525396,2.2010615012033234,1.7041776316507837,0,0
10.0.0.65,10.0.1.152,"sNL","sPT",70198025.0,39930972.78926165,0.4625152250468882,0.4725152250468882,2.2204995689414067,1.7579843438945184,0,0
10.0.1.106,10.0.2.82,"sES","sRO",56781481.0,34455526.516387776,0.5975495803970992,0.6075495803970992,2.2455139780095847,1.6479643976124856,0,0
10.0.0.25,10.0.1.145,"sDE1","sPT",64349515.0,37792511.20872929,0.5763401941519982,0.5863401941519982,2.279045649330552,1.7027054551785539,0,0
10.0.0.233,10.0.2.113,"sIT","sTR",83665361.0,37409141.27425903,0.059148815037696534,0.06914881503769654,2.2956439108919695,2.236495095854273,0,0
10.0.1.131,10.0.2.97,"sGR","sRS",76067947.0,35874930.71293888,0.22889562607826086,0.23889562607826087,2.3492606132241414,2.1203649871458805,0,0
10.0.2.67,10.0.1.116,"sLV","sCH",75026094.0,39854883.941629305,0.49596488951656215,0.5059648895165622,2.378446698016664,1.8824818085001018,0,0
10.0.0.161,10.0.1.232,"sSE","sFR2",59185836.0,36817688.523928836,0.7979833032960066,0.8079833032960066,2.405521374610111,1.6075380713141045,0,0
10.0.1.133,10.0.1.215,"sGR","sFR1",77702899.0,36829096.70546883,0.2988366331697556,0.3088366331697556,2.408660276725524,2.1098236435557682,0,0
10.0.1.106,10.0.1.115,"sES","sCH",64198391.0,361991273.4314843,2.2455139780095847,2.2555139780095845,2.4228618748012214,0.17734789679163665,0,0
10.0.2.58,10.0.1.8,"sLU","sUK",86811562.0,42249162.41294201,0.39218839056885124,0.40218839056885125,2.446940651726279,2.054752261157428,0,0
10.0.2.50,10.0.1.213,"sLU","sFR1",78379957.0,40014109.32754335,0.49049172709904854,0.5004917270990485,2.4492997155114726,1.958807988412424,0,0
10.0.0.82,10.0.1.35,"sBY","sIE",52471067.0,32848166.005296364,0.8914167374005473,0.9014167374005473,2.4887986731694935,1.5973819357689463,0,0
10.0.0.65,10.0.2.40,"sNL","sLT",98630771.0,315540608.2596412,2.2204995689414067,2.2304995689414064,2.5330766776184683,0.3125771086770617,0,0
10.0.1.66,10.0.1.22,"sMD","sMK",78407835.0,170162878.56028426,2.09948282950511,2.10948282950511,2.5602639097465456,0.4607810802414356,0,0
10.0.1.197,10.0.0.196,"sCZ","sIS",76520360.0,40299768.73321927,0.6737313739270735,0.6837313739270735,2.5725105085309883,1.898779134603915,0,0
10.0.1.24,10.0.1.148,"sMK","sPT",82369384.0,40567051.218023784,0.5486497515097648,0.5586497515097648,2.579100117677952,2.0304503661681874,0,0
10.0.0.145,10.0.1.121,"sFI","sCH",72291394.0,39807941.80203363,0.7679062616945821,0.7779062616945821,2.5839105745904303,1.8160043128958483,0,0
10.0.1.97,10.0.2.81,"sES","sRO",98489702.0,40429416.18424597,0.15740339278221083,0.16740339278221084,2.593493529507416,2.4360901367252055,0,0
10.0.0.58,10.0.1.104,"sNO","sES",65146843.0,40089444.26894366,0.976868372269597,0.986868372269597,2.6019056903964466,1.6250373181268496,0,0
10.0.0.121,10.0.1.232,"sBG","sFR2",93956862.0,41552050.703858554,0.40388668221583096,0.41388668221583097,2.6650713989372874,2.2611847167214565,0,0
10.0.1.5,10.0.1.248,"sUK","sAT",96643431.0,41457604.962852076,0.33754736806027075,0.34754736806027076,2.6686861563862476,2.331138788325977,0,0
10.0.2.70,10.0.1.2,"sLV","sUK",64942870.0,34361569.11168698,0.7937687366665621,0.8037687366665621,2.6837543129629533,1.8899855762963913,0,0
10.0.1.105,10.0.2.19,"sES","sHU",91019789.0,42958096.235198714,0.5685353441770519,0.5785353441770519,2.687339410857754,2.118804066680702,0,0
10.0.0.33,10.0.1.154,"sBE","sPT",77814714.0,42966189.2937085,0.886970349991575,0.896970349991575,2.6980388966591367,1.8110685466675616,0,0
10.0.0.40,10.0.1.145,"sBE","sPT",97252358.0,44427402.30094586,0.5137776187687335,0.5237776187687335,2.702795048624845,2.1890174298561114,0,0
10.0.2.135,10.0.1.153,"sPL","sPT",83698225.0,38519779.329650104,0.5381410019224188,0.5481410019224188,2.711004565955725,2.1728635640333063,0,0
10.0.0.17,10.0.1.150,"sDE1","sPT",76786400.0,44094616.96321277,0.9734964061738157,0.9834964061738157,2.714897177702488,1.7414007715286721,0,0
10.0.0.52,10.0.1.118,"sNO","sCH",79675982.0,44572090.16140551,0.9365018368642684,0.9465018368642684,2.724077463483425,1.7875756266191565,0,0
10.0.1.232,10.0.2.4,"sFR2","sHR",78514472.0,31918926.83068472,0.3036678895816812,0.31366788958168124,2.7634771562429097,2.4598092666612286,0,0
10.0.2.66,10.0.1.148,"sLV","sPT",86429927.0,39563441.08957809,0.597238409386762,0.607238409386762,2.781829148203149,2.1845907388163868,0,0
10.0.0.177,10.0.0.74,"sDK","sNL",64805005.0,79164358.00926942,2.0020498904995416,2.0120498904995414,2.8206632997362076,0.8186134092366659,0,0
10.0.0.164,10.0.1.179,"sSE","sCY",74316261.0,70177284.03622048,1.7657496472383876,1.7757496472383874,2.8247285179744406,1.058978870736053,0,0
10.0.0.3,10.0.0.179,"sDE2","sDK",96074771.0,58228291.28143953,1.1767680222433348,1.1867680222433346,2.8267352269417176,1.6499672046983829,0,0
10.0.1.227,10.0.1.137,"sFR2","sGR",63723842.0,26407250.01411276,0.48158356638741484,0.49158356638741485,2.8947027653174144,2.4131191989299996,0,0
10.0.2.66,10.0.2.50,"sLV","sLU",50503410.0,283672194.2839444,2.781829148203149,2.7918291482031488,2.9598635520596233,0.1780344038564743,0,0
10.0.0.164,10.0.1.98,"sSE","sES",95968279.0,633909382.3817824,2.8247285179744406,2.8347285179744404,2.976119681549618,0.15139116357517723,0,0
10.0.1.242,10.0.1.199,"sAT","sCZ",59983687.0,24350922.670926567,0.5587503762742958,0.5687503762742958,3.0220528067656325,2.4633024304913365,0,0
10.0.0.120,10.0.1.197,"sBG","sCZ",72866394.0,26701159.150100388,0.2945783302502445,0.3045783302502445,3.023538282527299,2.7289599522770547,0,0
10.0.1.106,10.0.1.18,"sES","sMK",74730102.0,119499616.09440199,2.4228618748012214,2.432861874801221,3.0482203859194907,0.6253585111182693,0,0
10.0.0.177,10.0.0.82,"sDK","sBY",89481755.0,374006778.23613524,2.8206632997362076,2.8306632997362073,3.059914993039756,0.23925169330354823,0,0
10.0.1.66,10.0.1.97,"sMD","sES",71722517.0,137396672.3895324,2.5602639097465456,2.5702639097465454,3.082274492336639,0.5220105825900934,0,0
10.0.1.97,10.0.2.18,"sES","sHU",92028464.0,167817668.08755094,2.593493529507416,2.603493529507416,3.1418771714013585,0.5483836418939423,0,0
10.0.0.177,10.0.0.153,"sDK","sFI",55916407.0,624621569.8554585,3.059914993039756,3.0699149930397556,3.149435447821584,0.08952045478182802,0,0
10.0.1.234,10.0.1.102,"sFR2","sES",53907558.0,24206053.5937279,0.9354299311988251,0.9454299311988251,3.162457884816516,2.2270279536176907,0,0
10.0.0.100,10.0.2.67,"sSI","sLV",60344101.0,25239270.70917648,0.7855883386041072,0.7955883386041072,3.176469663794701,2.390881325190594,0,0
10.0.0.120,10.0.2.100,"sBG","sRS",82541318.0,458627450.3490243,3.023538282527299,3.033538282527299,3.2035129393804476,0.1799746568531484,0,0
10.0.1.106,10.0.0.1,"sES","sDE2",77650936.0,441472998.10626537,3.0482203859194907,3.0582203859194905,3.224110953027989,0.17589056710849826,0,0
10.0.0.106,10.0.1.103,"sSI","sES",59252070.0,24446318.49672183,0.8051475531074348,0.8151475531074348,3.2289100516589246,2.42376249855149,0,0
10.0.1.179,10.0.0.198,"sCY","sIS",58749878.0,19115853.375833,0.17718707784526877,0.18718707784526878,3.250545972419856,3.073358894574587,0,0
10.0.0.120,10.0.1.22,"sBG","sMK",53264372.0,689331448.4741173,3.2035129393804476,3.2135129393804474,3.2807825491130433,0.07726960973259578,0,0
10.0.1.98,10.0.0.227,"sES","sIT",66911223.0,25143725.687506646,0.6216268386566778,0.6316268386566778,3.2827767347218697,2.661149896065192,0,0
10.0.1.97,10.0.0.215,"sES","sUA",64273948.0,338038163.05385435,3.1418771714013585,3.1518771714013583,3.332015312667261,0.19013814126590267,0,0
10.0.1.234,10.0.1.169,"sFR2","sEE",58720250.0,343589043.87107956,3.162457884816516,3.1724578848165157,3.33336045300793,0.17090256819141425,0,0
10.0.0.215,10.0.0.246,"sUA","sMT",51584637.0,17487995.497014925,0.3845930494525992,0.3945930494525992,3.3343100143732003,2.949716964920601,0,0
10.0.0.177,10.0.1.41,"sDK","sIE",95574102.0,360300612.7273111,3.149435447821584,3.1594354478215836,3.4146975612455597,0.2652621134239759,0,0
10.0.1.163,10.0.2.85,"sEE","sRO",77037712.0,27820134.66917478,0.7153336459274586,0.7253336459274586,3.484468767525529,2.7691351215980706,0,0
10.0.1.121,10.0.1.57,"sCH","sME",59645562.0,17934623.593516827,0.17132356101821178,0.1813235610182118,3.497044989683223,3.3257214286650116,0,0
10.0.2.17,10.0.1.5,"sHU","sUK",79257052.0,28083394.905791324,0.6876838065630113,0.6976838065630113,3.5098871856728393,2.822203379109828,0,0
10.0.2.21,10.0.1.5,"sHU","sUK",84138727.0,28266246.99103134,0.5525630586194799,0.5625630586194799,3.52921316100826,2.9766501023887804,0,0
10.0.0.177,10.0.0.37,"sDK","sBE",81713923.0,625338592.144532,3.4146975612455597,3.4246975612455595,3.545369047103758,0.13067148585819854,0,0
10.0.1.23,10.0.1.197,"sMK","sCZ",91129372.0,29043388.0434691,0.4135836173852806,0.4235836173852806,3.5512813220610266,3.137697704675746,0,0
10.0.0.84,10.0.0.122,"sBY","sBG",60128764.0,18451603.10183348,0.3353849534957315,0.3453849534957315,3.5941134047935583,3.2587284512978267,0,0
10.0.2.133,10.0.1.68,"sPL","sMD",55673455.0,17429307.08427384,0.4076695311010813,0.4176695311010813,3.6019132684343447,3.1942437373332635,0,0
10.0.2.21,10.0.2.105,"sHU","sRS",69476917.0,676350315.8754855,3.52921316100826,3.53921316100826,3.6319364323208005,0.10272327131254055,0,0
10.0.1.226,10.0.1.74,"sFR2","sMD",78990264.0,25496042.057265434,0.5450939628545259,0.555093962854526,3.643232247321729,3.098138284467203,0,0
10.0.0.24,10.0.0.233,"sDE1","sIT",73722373.0,25377570.097467843,0.7407338809752532,0.7507338809752532,3.645754839122699,2.9050209581474458,0,0
10.0.1.121,10.0.1.65,"sCH","sMD",62082662.0,417014660.73936117,3.497044989683223,3.507044989683223,3.6459190409933817,0.14887405131015852,0,0
10.0.0.21,10.0.0.113,"sDE1","sBG",57541548.0,17623229.997467704,0.3868484189340755,0.3968484189340755,3.6519449993150945,3.265096580381019,0,0
10.0.1.9,10.0.2.116,"sUK","sTR",53503956.0,15448775.256436925,0.273104194684183,0.283104194684183,3.7364179598130343,3.4633137651288513,0,0
10.0.1.170,10.0.1.53,"sEE","sME",91730039.0,34843415.82244201,1.1147617310056817,1.1247617310056814,3.747397964704628,2.632636233698946,0,0
10.0.0.84,10.0.0.186,"sBY","sDK",83610627.0,487611680.1358999,3.5941134047935583,3.604113404793558,3.765583101698065,0.17146969690450664,0,0
10.0.0.21,10.0.1.212,"sDE1","sFR1",62934650.0,397924395.030043,3.6519449993150945,3.6619449993150943,3.8101023045369784,0.15815730522188387,0,0
10.0.1.149,10.0.1.35,"sPT","sIE",83064713.0,25933012.525973246,0.730807373625166,0.740807373625166,3.933856495542892,3.203049121917726,0,0
